YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Hsig,TP,Avg_Wv_Dir,Avg_Wv_Dir_N,M_Decl
2015,8,1,12,25,0,0.18,8.00,136.00,113.45,-22.55
2015,8,1,13,25,0,0.19,8.00,190.00,167.45,-22.55
2015,8,1,14,25,0,0.21,8.00,195.00,172.45,-22.55
2015,8,1,15,25,0,0.24,7.70,161.00,138.45,-22.55
2015,8,1,16,25,0,0.23,7.70,169.00,146.45,-22.55
2015,8,1,17,25,0,0.25,8.00,188.00,165.45,-22.55
2015,8,1,18,25,0,0.24,7.40,157.00,134.45,-22.55
2015,8,1,19,25,0,0.22,8.00,181.00,158.45,-22.55
2015,8,1,20,25,0,0.22,8.00,172.00,149.45,-22.55
2015,8,1,21,25,0,0.21,7.10,183.00,160.45,-22.55
2015,8,1,22,25,0,0.20,7.40,180.00,157.45,-22.55
2015,8,1,23,25,0,0.16,8.70,193.00,170.45,-22.55
2015,8,2,0,25,0,0.16,7.70,179.00,156.45,-22.55
2015,8,2,1,25,0,0.14,7.40,182.00,159.45,-22.55
2015,8,2,2,25,0,0.17,8.00,171.00,148.45,-22.55
2015,8,2,3,25,0,0.22,4.90,149.00,126.45,-22.55
2015,8,2,4,25,0,0.24,7.40,162.00,139.45,-22.55
2015,8,2,5,25,0,0.22,8.30,148.00,125.45,-22.55
2015,8,2,6,25,0,0.23,7.40,159.00,136.45,-22.55
2015,8,2,7,25,0,0.17,8.00,186.00,163.45,-22.55
2015,8,2,8,25,0,0.18,14.30,173.00,150.45,-22.55
2015,8,2,9,25,0,0.17,13.30,174.00,151.45,-22.55
2015,8,2,10,25,0,0.21,14.30,181.00,158.45,-22.55
2015,8,2,11,25,0,0.25,14.30,154.00,131.45,-22.55
2015,8,2,12,25,0,0.22,14.30,154.00,131.45,-22.55
2015,8,2,13,25,0,0.33,14.30,155.00,132.45,-22.55
2015,8,2,14,25,0,0.31,13.30,168.00,145.45,-22.55
2015,8,2,15,25,0,0.38,13.30,152.00,129.45,-22.55
2015,8,2,16,25,0,0.49,15.40,164.00,141.45,-22.55
2015,8,2,17,25,0,0.59,14.30,174.00,151.45,-22.55
2015,8,2,18,25,0,0.63,14.30,181.00,158.45,-22.55
2015,8,2,19,25,0,0.53,12.50,172.00,149.45,-22.55
2015,8,2,20,25,0,0.51,14.30,167.00,144.45,-22.55
2015,8,2,21,25,0,0.57,14.30,167.00,144.45,-22.55
2015,8,2,22,25,0,0.59,12.50,168.00,145.45,-22.55
2015,8,2,23,25,0,0.57,14.30,171.00,148.45,-22.55
2015,8,3,0,25,0,0.65,12.50,171.00,148.45,-22.55
2015,8,3,1,25,0,0.56,12.50,162.00,139.45,-22.55
2015,8,3,2,25,0,0.51,13.30,173.00,150.45,-22.55
2015,8,3,3,25,0,0.57,13.30,178.00,155.45,-22.55
2015,8,3,4,25,0,0.77,14.30,169.00,146.45,-22.55
2015,8,3,5,25,0,1.04,13.30,177.00,154.45,-22.55
2015,8,3,6,25,0,0.79,14.30,178.00,155.45,-22.55
2015,8,3,7,25,0,0.63,14.30,166.00,143.45,-22.55
2015,8,3,8,25,0,0.72,13.30,171.00,148.45,-22.55
2015,8,3,9,25,0,0.79,14.30,167.00,144.45,-22.55
2015,8,3,10,25,0,0.80,13.30,160.00,137.45,-22.55
2015,8,3,11,25,0,0.64,12.50,170.00,147.45,-22.55
2015,8,3,12,25,0,0.63,14.30,165.00,142.45,-22.55
2015,8,3,13,25,0,0.62,13.30,159.00,136.45,-22.55
2015,8,3,14,25,0,0.66,14.30,167.00,144.45,-22.55
2015,8,3,15,25,0,0.78,13.30,165.00,142.45,-22.55
2015,8,3,16,25,0,0.71,13.30,165.00,142.45,-22.55
2015,8,3,17,25,0,0.88,14.30,183.00,160.45,-22.55
2015,8,3,18,25,0,0.84,12.50,179.00,156.45,-22.55
2015,8,3,19,25,0,0.64,14.30,181.00,158.45,-22.55
2015,8,3,20,25,0,0.53,14.30,171.00,148.45,-22.55
2015,8,3,21,25,0,0.63,14.30,166.00,143.45,-22.55
2015,8,3,22,25,0,0.63,14.30,172.00,149.45,-22.55
2015,8,3,23,25,0,0.60,14.30,172.00,149.45,-22.55
2015,8,4,0,25,0,0.57,14.30,172.00,149.45,-22.55
2015,8,4,1,25,0,0.54,15.40,172.00,149.45,-22.55
2015,8,4,2,25,0,0.54,13.30,161.00,138.45,-22.55
2015,8,4,3,25,0,0.57,14.30,174.00,151.45,-22.55
2015,8,4,4,25,0,0.50,13.30,189.00,166.45,-22.55
2015,8,4,5,25,0,0.60,14.30,188.00,165.45,-22.55
2015,8,4,6,25,0,0.63,13.30,193.00,170.45,-22.55
2015,8,4,7,25,0,0.55,13.30,173.00,150.45,-22.55
2015,8,4,8,25,0,0.47,14.30,179.00,156.45,-22.55
2015,8,4,9,25,0,0.56,14.30,163.00,140.45,-22.55
2015,8,4,10,25,0,0.55,12.50,166.00,143.45,-22.55
2015,8,4,11,25,0,0.49,14.30,155.00,132.45,-22.55
2015,8,4,12,25,0,0.54,14.30,158.00,135.45,-22.55
2015,8,4,13,25,0,0.52,14.30,173.00,150.45,-22.55
2015,8,4,14,25,0,0.40,13.30,157.00,134.45,-22.55
2015,8,4,15,25,0,0.40,14.30,164.00,141.45,-22.55
2015,8,4,16,25,0,0.49,13.30,160.00,137.45,-22.55
2015,8,4,17,25,0,0.44,12.50,154.00,131.45,-22.55
2015,8,4,18,25,0,0.51,13.30,169.00,146.45,-22.55
2015,8,4,19,25,0,0.45,12.50,167.00,144.45,-22.55
2015,8,4,20,25,0,0.43,13.30,161.00,138.45,-22.55
2015,8,4,21,25,0,0.42,13.30,134.00,111.45,-22.55
2015,8,4,22,25,0,0.38,13.30,165.00,142.45,-22.55
2015,8,4,23,25,0,0.58,13.30,159.00,136.45,-22.55
2015,8,5,0,25,0,0.40,13.30,153.00,130.45,-22.55
2015,8,5,1,25,0,0.33,13.30,185.00,162.45,-22.55
2015,8,5,2,25,0,0.31,12.50,160.00,137.45,-22.55
2015,8,5,3,25,0,0.33,12.50,167.00,144.45,-22.55
2015,8,5,4,25,0,0.30,12.50,167.00,144.45,-22.55
2015,8,5,5,25,0,0.28,13.30,163.00,140.45,-22.55
2015,8,5,6,25,0,0.27,13.30,170.00,147.45,-22.55
2015,8,5,7,25,0,0.27,13.30,190.00,167.45,-22.55
2015,8,5,8,25,0,0.30,12.50,159.00,136.45,-22.55
2015,8,5,9,25,0,0.24,11.80,165.00,142.45,-22.55
2015,8,5,10,25,0,0.32,12.50,161.00,138.45,-22.55
2015,8,5,11,25,0,0.38,12.50,152.00,129.45,-22.55
2015,8,5,12,25,0,0.35,12.50,130.00,107.45,-22.55
2015,8,5,13,25,0,0.32,11.80,144.00,121.45,-22.55
2015,8,5,14,25,0,0.28,11.80,160.00,137.45,-22.55
2015,8,5,15,25,0,0.24,11.80,150.00,127.45,-22.55
2015,8,5,16,25,0,0.26,11.80,169.00,146.45,-22.55
2015,8,5,17,25,0,0.28,11.80,168.00,145.45,-22.55
2015,8,5,18,25,0,0.30,11.10,142.00,119.45,-22.55
2015,8,5,19,25,0,0.33,11.80,166.00,143.45,-22.55
2015,8,5,20,25,0,0.34,11.10,158.00,135.45,-22.55
2015,8,5,21,25,0,0.29,13.30,180.00,157.45,-22.55
2015,8,5,22,25,0,0.29,12.50,131.00,108.45,-22.55
2015,8,5,23,25,0,0.34,12.50,150.00,127.45,-22.55
2015,8,6,0,25,0,0.32,11.10,159.00,136.45,-22.55
2015,8,6,1,25,0,0.31,12.50,159.00,136.45,-22.55
2015,8,6,2,25,0,0.26,11.10,153.00,130.45,-22.55
2015,8,6,3,25,0,0.25,11.80,156.00,133.45,-22.55
2015,8,6,4,25,0,0.23,11.80,172.00,149.45,-22.55
2015,8,6,5,25,0,0.31,12.50,155.00,132.45,-22.55
2015,8,6,6,25,0,0.24,11.80,164.00,141.45,-22.55
2015,8,6,7,25,0,0.32,11.10,151.00,128.45,-22.55
2015,8,6,8,25,0,0.33,13.30,166.00,143.45,-22.55
2015,8,6,9,25,0,0.34,12.50,164.00,141.45,-22.55
2015,8,6,10,25,0,0.36,12.50,159.00,136.45,-22.55
2015,8,6,11,25,0,0.34,11.10,154.00,131.45,-22.55
2015,8,6,12,25,0,0.40,12.50,141.00,118.45,-22.55
2015,8,6,13,25,0,0.34,14.30,150.00,127.45,-22.55
2015,8,6,14,25,0,0.32,11.80,167.00,144.45,-22.55
2015,8,6,15,25,0,0.34,13.30,158.00,135.45,-22.55
2015,8,6,16,25,0,0.34,13.30,148.00,125.45,-22.55
2015,8,6,17,25,0,0.33,10.50,160.00,137.45,-22.55
2015,8,6,18,25,0,0.37,12.50,156.00,133.45,-22.55
2015,8,6,19,25,0,0.41,13.30,150.00,127.45,-22.55
2015,8,6,20,25,0,0.46,14.30,158.00,135.45,-22.55
2015,8,6,21,25,0,0.50,10.00,154.00,131.45,-22.55
2015,8,6,22,25,0,0.43,11.80,155.00,132.45,-22.55
2015,8,6,23,25,0,0.50,10.00,152.00,129.45,-22.55
2015,8,7,0,25,0,0.53,10.00,157.00,134.45,-22.55
2015,8,7,1,25,0,0.50,13.30,153.00,130.45,-22.55
2015,8,7,2,25,0,0.50,11.10,159.00,136.45,-22.55
2015,8,7,3,25,0,0.54,14.30,152.00,129.45,-22.55
2015,8,7,4,25,0,0.53,14.30,153.00,130.45,-22.55
2015,8,7,5,25,0,0.54,13.30,158.00,135.45,-22.55
2015,8,7,6,25,0,0.59,14.30,151.00,128.45,-22.55
2015,8,7,7,25,0,0.55,14.30,151.00,128.45,-22.55
2015,8,7,8,25,0,0.76,13.30,149.00,126.45,-22.55
2015,8,7,9,25,0,0.61,13.30,155.00,132.45,-22.55
2015,8,7,10,25,0,0.63,13.30,158.00,135.45,-22.55
2015,8,7,11,25,0,0.62,13.30,149.00,126.45,-22.55
2015,8,7,12,25,0,0.65,13.30,158.00,135.45,-22.55
2015,8,7,13,25,0,0.67,14.30,151.00,128.45,-22.55
2015,8,7,14,25,0,0.69,13.30,151.00,128.45,-22.55
2015,8,7,15,25,0,0.65,14.30,150.00,127.45,-22.55
2015,8,7,16,25,0,0.56,13.30,154.00,131.45,-22.55
2015,8,7,17,25,0,0.63,13.30,162.00,139.45,-22.55
2015,8,7,18,25,0,0.64,13.30,157.00,134.45,-22.55
2015,8,7,19,25,0,0.67,14.30,155.00,132.45,-22.55
2015,8,7,20,25,0,0.68,13.30,156.00,133.45,-22.55
2015,8,7,21,25,0,0.80,14.30,152.00,129.45,-22.55
2015,8,7,22,25,0,0.86,13.30,157.00,134.45,-22.55
2015,8,7,23,25,0,0.69,13.30,155.00,132.45,-22.55
2015,8,8,0,25,0,0.68,13.30,153.00,130.45,-22.55
2015,8,8,1,25,0,0.63,14.30,154.00,131.45,-22.55
2015,8,8,2,25,0,0.80,13.30,159.00,136.45,-22.55
2015,8,8,3,25,0,0.71,13.30,147.00,124.45,-22.55
2015,8,8,4,25,0,0.67,13.30,153.00,130.45,-22.55
2015,8,8,5,25,0,0.70,14.30,152.00,129.45,-22.55
2015,8,8,6,25,0,0.74,13.30,156.00,133.45,-22.55
2015,8,8,7,25,0,0.66,13.30,156.00,133.45,-22.55
2015,8,8,8,25,0,0.80,13.30,163.00,140.45,-22.55
2015,8,8,9,25,0,0.82,13.30,154.00,131.45,-22.55
2015,8,8,10,25,0,0.91,14.30,151.00,128.45,-22.55
2015,8,8,11,25,0,0.84,13.30,158.00,135.45,-22.55
2015,8,8,12,25,0,0.94,14.30,159.00,136.45,-22.55
2015,8,8,13,25,0,0.89,13.30,159.00,136.45,-22.55
2015,8,8,14,25,0,0.95,13.30,155.00,132.45,-22.55
2015,8,8,15,25,0,0.86,13.30,154.00,131.45,-22.55
2015,8,8,16,25,0,0.88,13.30,163.00,140.45,-22.55
2015,8,8,17,25,0,0.83,13.30,160.00,137.45,-22.55
2015,8,8,18,25,0,0.93,9.10,165.00,142.45,-22.55
2015,8,8,19,25,0,0.84,13.30,175.00,152.45,-22.55
2015,8,8,20,25,0,0.88,13.30,166.00,143.45,-22.55
2015,8,8,21,25,0,0.90,12.50,167.00,144.45,-22.55
2015,8,8,22,25,0,1.10,12.50,151.00,128.45,-22.55
2015,8,8,23,25,0,1.10,8.70,166.00,143.45,-22.55
2015,8,9,0,25,0,0.93,8.30,161.00,138.45,-22.55
2015,8,9,1,25,0,0.90,8.30,169.00,146.45,-22.55
2015,8,9,2,25,0,0.91,8.70,172.00,149.45,-22.55
2015,8,9,3,25,0,0.88,8.70,160.00,137.45,-22.55
2015,8,9,4,25,0,0.76,8.70,168.00,145.45,-22.55
2015,8,9,5,25,0,0.90,9.10,160.00,137.45,-22.55
2015,8,9,6,25,0,0.82,9.10,163.00,140.45,-22.55
2015,8,9,7,25,0,0.74,10.00,168.00,145.45,-22.55
2015,8,9,8,25,0,0.76,9.10,173.00,150.45,-22.55
2015,8,9,9,25,0,0.72,9.10,166.00,143.45,-22.55
2015,8,9,10,25,0,0.93,8.30,160.00,137.45,-22.55
2015,8,9,11,25,0,0.79,8.00,165.00,142.45,-22.55
2015,8,9,12,25,0,0.71,8.00,163.00,140.45,-22.55
2015,8,9,13,25,0,0.72,8.00,167.00,144.45,-22.55
2015,8,9,14,25,0,0.81,10.00,163.00,140.45,-22.55
2015,8,9,15,25,0,0.77,10.00,163.00,140.45,-22.55
2015,8,9,16,25,0,0.83,9.50,168.00,145.45,-22.55
2015,8,9,17,25,0,0.86,9.10,158.00,135.45,-22.55
2015,8,9,18,25,0,0.84,9.10,160.00,137.45,-22.55
2015,8,9,19,25,0,0.87,8.70,169.00,146.45,-22.55
2015,8,9,20,25,0,0.83,9.50,169.00,146.45,-22.55
2015,8,9,21,25,0,0.81,8.30,177.00,154.45,-22.55
2015,8,9,22,25,0,0.85,8.70,165.00,142.45,-22.55
2015,8,9,23,25,0,0.94,14.30,167.00,144.45,-22.55
2015,8,10,0,25,0,1.00,14.30,172.00,149.45,-22.55
2015,8,10,1,25,0,0.87,15.40,169.00,146.45,-22.55
2015,8,10,2,25,0,0.90,14.30,168.00,145.45,-22.55
2015,8,10,3,25,0,0.86,8.30,167.00,144.45,-22.55
2015,8,10,4,25,0,0.84,13.30,176.00,153.45,-22.55
2015,8,10,5,25,0,0.84,14.30,175.00,152.45,-22.55
2015,8,10,6,25,0,0.86,14.30,171.00,148.45,-22.55
2015,8,10,7,25,0,0.81,14.30,176.00,153.45,-22.55
2015,8,10,8,25,0,0.91,13.30,172.00,149.45,-22.55
2015,8,10,9,25,0,0.77,14.30,164.00,141.45,-22.55
2015,8,10,10,25,0,0.90,14.30,163.00,140.45,-22.55
2015,8,10,11,25,0,0.90,13.30,169.00,146.45,-22.55
2015,8,10,12,25,0,1.08,14.30,159.00,136.45,-22.55
2015,8,10,13,25,0,1.03,13.30,166.00,143.45,-22.55
2015,8,10,14,25,0,0.91,13.30,165.00,142.45,-22.55
2015,8,10,15,25,0,0.99,14.30,169.00,146.45,-22.55
2015,8,10,16,25,0,1.00,13.30,163.00,140.45,-22.55
2015,8,10,17,25,0,1.07,13.30,160.00,137.45,-22.55
2015,8,10,18,25,0,0.96,13.30,166.00,143.45,-22.55
2015,8,10,19,25,0,0.92,14.30,167.00,144.45,-22.55
2015,8,10,20,25,0,1.01,14.30,171.00,148.45,-22.55
2015,8,10,21,25,0,0.99,13.30,174.00,151.45,-22.55
2015,8,10,22,25,0,0.87,13.30,170.00,147.45,-22.55
2015,8,10,23,25,0,0.92,14.30,171.00,148.45,-22.55
2015,8,11,0,25,0,1.07,14.30,159.00,136.45,-22.55
2015,8,11,1,25,0,1.04,14.30,162.00,139.45,-22.55
2015,8,11,2,25,0,0.95,13.30,166.00,143.45,-22.55
2015,8,11,3,25,0,0.99,13.30,164.00,141.45,-22.55
2015,8,11,4,25,0,0.83,13.30,165.00,142.45,-22.55
2015,8,11,5,25,0,0.86,14.30,162.00,139.45,-22.55
2015,8,11,6,25,0,0.87,13.30,164.00,141.45,-22.55
2015,8,11,7,25,0,0.86,14.30,168.00,145.45,-22.55
2015,8,11,8,25,0,0.77,12.50,166.00,143.45,-22.55
2015,8,11,9,25,0,0.78,13.30,161.00,138.45,-22.55
2015,8,11,10,25,0,0.75,13.30,166.00,143.45,-22.55
2015,8,11,11,25,0,0.71,13.30,168.00,145.45,-22.55
2015,8,11,12,25,0,0.83,12.50,164.00,141.45,-22.55
2015,8,11,13,25,0,0.85,12.50,161.00,138.45,-22.55
2015,8,11,14,25,0,0.76,13.30,168.00,145.45,-22.55
2015,8,11,15,25,0,0.72,13.30,174.00,151.45,-22.55
2015,8,11,16,25,0,0.62,12.50,174.00,151.45,-22.55
2015,8,11,17,25,0,0.77,12.50,167.00,144.45,-22.55
2015,8,11,18,25,0,0.76,12.50,170.00,147.45,-22.55
2015,8,11,19,25,0,0.67,13.30,169.00,146.45,-22.55
2015,8,11,20,25,0,0.78,12.50,166.00,143.45,-22.55
2015,8,11,21,25,0,0.76,12.50,166.00,143.45,-22.55
2015,8,11,22,25,0,0.77,11.80,164.00,141.45,-22.55
2015,8,11,23,25,0,0.70,13.30,166.00,143.45,-22.55
2015,8,12,0,25,0,0.71,13.30,176.00,153.45,-22.55
2015,8,12,1,25,0,0.80,10.00,169.00,146.45,-22.55
2015,8,12,2,25,0,0.70,16.70,181.00,158.45,-22.55
2015,8,12,3,25,0,0.70,16.70,177.00,154.45,-22.55
2015,8,12,4,25,0,0.72,16.70,187.00,164.45,-22.55
2015,8,12,5,25,0,0.67,16.70,181.00,158.45,-22.55
2015,8,12,6,25,0,0.61,16.70,184.00,161.45,-22.55
2015,8,12,7,25,0,0.63,16.70,183.00,160.45,-22.55
2015,8,12,8,25,0,0.67,16.70,180.00,157.45,-22.55
2015,8,12,9,25,0,0.65,14.30,176.00,153.45,-22.55
2015,8,12,10,25,0,0.71,14.30,179.00,156.45,-22.55
2015,8,12,11,25,0,0.73,15.40,184.00,161.45,-22.55
2015,8,12,12,25,0,0.72,15.40,184.00,161.45,-22.55
2015,8,12,13,25,0,0.87,15.40,188.00,165.45,-22.55
2015,8,12,14,25,0,0.85,15.40,190.00,167.45,-22.55
2015,8,12,15,25,0,0.91,15.40,196.00,173.45,-22.55
2015,8,12,16,25,0,0.77,15.40,186.00,163.45,-22.55
2015,8,12,17,25,0,0.73,15.40,174.00,151.45,-22.55
2015,8,12,18,25,0,0.76,14.30,180.00,157.45,-22.55
2015,8,12,19,25,0,0.75,15.40,174.00,151.45,-22.55
2015,8,12,20,25,0,0.77,15.40,184.00,161.45,-22.55
2015,8,12,21,25,0,0.68,15.40,180.00,157.45,-22.55
2015,8,12,22,25,0,0.73,14.30,176.00,153.45,-22.55
2015,8,12,23,25,0,0.68,14.30,177.00,154.45,-22.55
2015,8,13,0,25,0,0.66,14.30,185.00,162.45,-22.55
2015,8,13,1,25,0,0.73,14.30,179.00,156.45,-22.55
2015,8,13,2,25,0,0.75,14.30,194.00,171.45,-22.55
2015,8,13,3,25,0,0.75,14.30,195.00,172.45,-22.55
2015,8,13,4,25,0,0.62,14.30,186.00,163.45,-22.55
2015,8,13,5,25,0,0.66,14.30,200.00,177.45,-22.55
2015,8,13,6,25,0,0.66,14.30,179.00,156.45,-22.55
2015,8,13,7,25,0,0.64,13.30,185.00,162.45,-22.55
2015,8,13,8,25,0,0.62,14.30,186.00,163.45,-22.55
2015,8,13,9,25,0,0.54,14.30,183.00,160.45,-22.55
2015,8,13,10,25,0,0.55,14.30,178.00,155.45,-22.55
2015,8,13,11,25,0,0.55,14.30,186.00,163.45,-22.55
2015,8,13,12,25,0,0.52,13.30,173.00,150.45,-22.55
2015,8,13,13,25,0,0.61,13.30,182.00,159.45,-22.55
2015,8,13,14,25,0,0.67,14.30,188.00,165.45,-22.55
2015,8,13,15,25,0,0.62,14.30,187.00,164.45,-22.55
2015,8,13,16,25,0,0.59,13.30,203.00,180.45,-22.55
2015,8,13,17,25,0,0.59,13.30,191.00,168.45,-22.55
2015,8,13,18,25,0,0.51,13.30,182.00,159.45,-22.55
2015,8,13,19,25,0,0.59,13.30,174.00,151.45,-22.55
2015,8,13,20,25,0,0.59,12.50,190.00,167.45,-22.55
2015,8,13,21,25,0,0.55,13.30,192.00,169.45,-22.55
2015,8,13,22,25,0,0.52,13.30,184.00,161.45,-22.55
2015,8,13,23,25,0,0.54,13.30,184.00,161.45,-22.55
2015,8,14,0,25,0,0.50,12.50,184.00,161.45,-22.55
2015,8,14,1,25,0,0.48,12.50,187.00,164.45,-22.55
2015,8,14,2,25,0,0.67,12.50,195.00,172.45,-22.55
2015,8,14,3,25,0,0.53,12.50,199.00,176.45,-22.55
2015,8,14,4,25,0,0.55,12.50,193.00,170.45,-22.55
2015,8,14,5,25,0,0.45,13.30,203.00,180.45,-22.55
2015,8,14,6,25,0,0.48,12.50,191.00,168.45,-22.55
2015,8,14,7,25,0,0.55,12.50,193.00,170.45,-22.55
2015,8,14,8,25,0,0.54,11.80,204.00,181.45,-22.55
2015,8,14,9,25,0,0.46,11.80,211.00,188.45,-22.55
2015,8,14,10,25,0,0.41,11.10,179.00,156.45,-22.55
2015,8,14,11,25,0,0.39,11.80,177.00,154.45,-22.55
2015,8,14,12,25,0,0.36,11.80,166.00,143.45,-22.55
2015,8,14,13,25,0,0.39,11.10,177.00,154.45,-22.55
2015,8,14,14,25,0,0.42,11.10,181.00,158.45,-22.55
2015,8,14,15,25,0,0.44,11.10,188.00,165.45,-22.55
2015,8,14,16,25,0,0.47,11.10,179.00,156.45,-22.55
2015,8,14,17,25,0,0.46,11.80,185.00,162.45,-22.55
2015,8,14,18,25,0,0.36,11.80,182.00,159.45,-22.55
2015,8,14,19,25,0,0.45,11.10,184.00,161.45,-22.55
2015,8,14,20,25,0,0.53,11.10,194.00,171.45,-22.55
2015,8,14,21,25,0,0.48,10.50,187.00,164.45,-22.55
2015,8,14,22,25,0,0.39,10.50,195.00,172.45,-22.55
2015,8,14,23,25,0,0.40,11.80,160.00,137.45,-22.55
2015,8,15,0,25,0,0.39,11.10,170.00,147.45,-22.55
2015,8,15,1,25,0,0.40,10.50,168.00,145.45,-22.55
2015,8,15,2,25,0,0.46,11.10,164.00,141.45,-22.55
2015,8,15,3,25,0,0.45,10.50,171.00,148.45,-22.55
2015,8,15,4,25,0,0.45,11.10,174.00,151.45,-22.55
2015,8,15,5,25,0,0.42,10.50,174.00,151.45,-22.55
2015,8,15,6,25,0,0.33,10.50,171.00,148.45,-22.55
2015,8,15,7,25,0,0.34,10.50,189.00,166.45,-22.55
2015,8,15,8,25,0,0.42,11.10,205.00,182.45,-22.55
2015,8,15,9,25,0,0.39,10.50,209.00,186.45,-22.55
2015,8,15,10,25,0,0.36,10.50,200.00,177.45,-22.55
2015,8,15,11,25,0,0.32,10.50,183.00,160.45,-22.55
2015,8,15,12,25,0,0.28,10.50,176.00,153.45,-22.55
2015,8,15,13,25,0,0.32,10.50,178.00,155.45,-22.55
2015,8,15,14,25,0,0.34,9.50,176.00,153.45,-22.55
2015,8,15,15,25,0,0.38,10.50,175.00,152.45,-22.55
2015,8,15,16,25,0,0.38,10.00,179.00,156.45,-22.55
2015,8,15,17,25,0,0.42,10.00,178.00,155.45,-22.55
2015,8,15,18,25,0,0.36,10.00,180.00,157.45,-22.55
2015,8,15,19,25,0,0.35,10.00,182.00,159.45,-22.55
